,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
76,76,pdz9Pb7F,2025-03-15,16:00,ENGLAND - CHAMPIONSHIP,Luton,Middlesbrough,ROUND 38,2.63,3.3,2.63,1.4,2.75,3.0,1.36,1.06,10.0,1.29,3.75,1.95,1.9,1.73,2.0
77,77,nNek5UL0,2025-03-15,16:00,ENGLAND - CHAMPIONSHIP,Oxford Utd,Watford,ROUND 38,2.75,3.25,2.55,1.5,2.5,3.4,1.3,1.08,8.0,1.4,3.0,2.2,1.67,1.83,1.83
78,78,Kzfc38jD,2025-03-15,16:00,ENGLAND - CHAMPIONSHIP,Plymouth,Derby,ROUND 38,2.8,3.2,2.55,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.63,2.5,1.53,2.1,1.67
79,79,pUDyRBrK,2025-03-15,16:00,ENGLAND - CHAMPIONSHIP,Preston,Portsmouth,ROUND 38,2.1,3.2,3.7,1.5,2.5,3.4,1.3,1.08,8.0,1.4,3.0,2.2,1.67,1.91,1.8
80,80,pl4yS6o4,2025-03-15,16:00,ENGLAND - CHAMPIONSHIP,Swansea,Burnley,ROUND 38,3.5,3.2,2.15,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.63,2.5,1.53,2.1,1.67
81,81,phdOH756,2025-03-15,16:00,ENGLAND - CHAMPIONSHIP,West Brom,Hull,ROUND 38,1.85,3.5,4.2,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.2,2.1,1.73,1.91,1.8
82,82,SMSK2REa,2025-03-15,16:00,ENGLAND - LEAGUE ONE,Blackpool,Leyton Orient,ROUND 37,2.25,3.3,3.1,1.4,2.75,3.0,1.36,1.05,11.0,1.29,3.5,1.95,1.9,1.75,2.0
83,83,YaknJnat,2025-03-15,16:00,ENGLAND - LEAGUE ONE,Charlton,Wigan,ROUND 37,1.57,4.1,5.25,1.5,2.5,3.4,1.3,1.07,8.5,1.4,2.75,2.25,1.62,2.25,1.57
84,84,tQhfHQTh,2025-03-15,16:00,ENGLAND - LEAGUE ONE,Huddersfield,Crawley,ROUND 37,1.48,4.2,6.5,1.3,3.4,2.5,1.5,1.03,15.0,1.18,4.5,1.62,2.25,1.75,2.0
85,85,2us3F4b5,2025-03-15,16:00,ENGLAND - LEAGUE ONE,Lincoln,Bristol Rovers,ROUND 37,1.53,4.1,6.0,1.4,2.75,3.0,1.36,1.05,11.0,1.3,3.4,2.0,1.85,2.05,1.7
86,86,z7fADrTH,2025-03-15,16:00,ENGLAND - LEAGUE ONE,Mansfield,Barnsley,ROUND 37,2.45,3.6,2.63,1.36,3.0,2.63,1.44,1.04,13.0,1.25,3.75,1.8,2.0,1.67,2.1
