,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
48,48,G6BOZJem,2025-01-11,16:00,BELGIUM - CHALLENGER PRO LEAGUE,Anderlecht U23,Genk U23,ROUND 17,1.91,3.7,3.3,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,1.5,2.5
49,49,pWhwRi4m,2025-01-11,16:00,ENGLAND - LEAGUE ONE,Blackpool,Cambridge Utd,ROUND 26,1.62,3.75,5.25,1.36,3.0,1.05,11.0,1.29,3.5,1.93,1.93,1.91,1.91
50,50,W0WJwVmg,2025-01-11,16:00,ENGLAND - LEAGUE ONE,Northampton,Barnsley,ROUND 26,5.0,3.75,1.65,1.36,3.0,1.04,13.0,1.25,3.75,1.83,2.03,1.8,1.95
51,51,d8HqYQHU,2025-01-11,16:00,ENGLAND - LEAGUE ONE,Shrewsbury,Huddersfield,ROUND 26,4.75,3.8,1.67,1.4,2.75,1.05,11.0,1.3,3.4,2.0,1.8,1.91,1.91
52,52,CKighU2n,2025-01-11,16:00,ENGLAND - LEAGUE ONE,Stevenage,Burton,ROUND 26,1.62,3.9,5.0,1.44,2.63,1.06,10.0,1.4,2.75,2.2,1.65,2.2,1.62
53,53,0Ay9WiVs,2025-01-11,16:00,ENGLAND - LEAGUE TWO,AFC Wimbledon,Cheltenham,ROUND 26,1.75,3.5,4.5,1.44,2.63,1.07,9.0,1.33,3.25,2.05,1.75,1.91,1.8
54,54,UkTPS9U6,2025-01-11,16:00,ENGLAND - LEAGUE TWO,Carlisle,MK Dons,ROUND 26,2.55,3.5,2.55,1.4,2.75,1.05,11.0,1.29,3.5,1.9,1.95,1.73,2.0
55,55,zmWXQmaJ,2025-01-11,16:00,ENGLAND - LEAGUE TWO,Gillingham,Fleetwood,ROUND 26,2.1,3.3,3.4,1.5,2.5,1.07,9.0,1.36,3.0,2.15,1.67,1.91,1.8
56,56,IZw5PeuC,2025-01-11,16:00,ENGLAND - LEAGUE TWO,Port Vale,Barrow,ROUND 26,2.15,3.1,3.5,1.5,2.5,1.08,7.5,1.4,2.75,2.25,1.62,1.91,1.8
57,57,EBlFswet,2025-01-11,16:00,ENGLAND - LEAGUE TWO,Swindon,Crewe,ROUND 26,2.8,3.3,2.4,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,1.8,1.91
58,58,tCuBm0Ct,2025-01-11,16:00,MOROCCO - BOTOLA PRO,Jeunesse Sportive Soualem,COD Meknes,ROUND 18,1.9,3.0,4.0,1.57,2.25,1.11,6.5,1.5,2.5,2.5,1.5,2.2,1.62
